2452128.56705 20.230 0.167
2452131.56377 20.428 0.194
2452134.66675 20.672 0.371
2452138.54419 19.843 0.155
2452143.51767 20.410 0.321
2452155.64420 19.714 0.238
2452156.48328 20.187 0.223
2452158.49164 20.113 0.159
2452158.53461 20.141 0.167
2452162.50112 20.044 0.196
2452173.49387 19.690 0.187
2452180.49202 19.719 0.293
2452194.55176 20.066 0.211
2452321.87019 20.455 0.330
2452324.87230 20.304 0.219
2452341.82879 20.050 0.225
2452350.84190 20.329 0.192
2452358.88135 20.147 0.197
2452370.80960 20.218 0.226
2452381.80499 20.168 0.182
2452384.78749 20.175 0.185
2452388.84731 20.316 0.201
2452391.68985 20.318 0.362
2452400.68770 20.116 0.205
2452402.80267 20.078 0.170
2452404.83958 20.162 0.165
2452414.60114 20.303 0.364
2452414.61026 19.972 0.259
2452414.61966 20.212 0.269
2452414.64075 19.994 0.252
2452414.64989 20.248 0.335
2452414.65895 20.535 0.361
2452414.66939 20.280 0.318
2452414.67833 20.208 0.252
2452414.70973 20.118 0.190
2452414.72089 20.429 0.221
2452414.73163 20.027 0.144
2452414.74051 20.149 0.159
2452414.74957 20.203 0.166
2452414.75861 20.597 0.230
2452414.76761 20.286 0.186
2452414.77468 20.238 0.178
2452414.78359 20.326 0.206
2452414.79318 20.026 0.152
2452414.80206 20.294 0.221
2452414.81130 20.191 0.228
2452414.82196 19.972 0.161
2452414.83112 19.943 0.166
2452414.84152 20.570 0.263
2452414.85062 20.436 0.215
2452414.85854 20.203 0.181
2452414.86843 20.501 0.246
2452414.87750 20.192 0.203
2452414.88637 20.125 0.197
2452414.89911 20.276 0.253
2452414.91938 20.513 0.471
2452414.92833 20.259 0.326
2452414.93571 20.538 0.372
2452414.93936 20.581 0.457
2452415.72058 20.154 0.233
2452416.74275 20.508 0.247
2452417.59416 20.219 0.358
2452417.60858 20.077 0.333
2452417.61864 20.477 0.427
2452417.62881 20.347 0.433
2452417.63944 19.933 0.222
2452417.64895 20.268 0.262
2452417.65788 20.092 0.218
2452417.66801 19.995 0.195
2452417.67719 20.307 0.275
2452417.68690 20.126 0.242
2452417.69591 20.519 0.317
2452417.70656 19.876 0.171
2452417.71834 20.205 0.230
2452417.73632 20.188 0.221
2452417.74846 20.359 0.252
2452417.75736 19.906 0.183
2452417.76685 20.215 0.245
2452417.77609 20.096 0.202
2452417.78508 20.448 0.264
2452417.79456 20.386 0.298
2452417.80393 20.039 0.221
2452417.81463 20.318 0.270
2452417.82346 20.181 0.219
2452417.83232 20.168 0.229
2452417.84120 20.499 0.284
2452417.85268 20.381 0.270
2452417.86163 20.311 0.237
2452417.87075 20.338 0.244
2452417.88301 20.496 0.271
2452417.91857 20.286 0.312
2452417.92197 20.378 0.428
2452426.57757 20.155 0.278
2452426.59343 20.164 0.186
2452426.60264 20.319 0.261
2452426.61593 19.966 0.169
2452426.62504 20.608 0.302
2452426.63397 19.923 0.176
2452426.64427 20.295 0.233
2452426.65339 20.299 0.209
2452426.66260 20.328 0.208
2452426.67194 20.287 0.210
2452426.68175 20.011 0.162
2452426.69063 20.080 0.177
2452426.70066 20.212 0.170
2452426.71069 20.275 0.188
2452426.72898 20.414 0.364
2452433.73344 20.032 0.162
2452434.80649 20.101 0.144
2452436.57924 20.434 0.259
2452438.61141 20.251 0.203
2452440.59264 20.080 0.165
2452442.61073 20.305 0.216
2452444.70336 20.381 0.268
2452446.63790 20.148 0.193
2452448.54209 19.942 0.382
2452448.66940 20.639 0.343
2452448.68709 19.947 0.333
2452448.69719 19.959 0.230
2452453.73371 20.054 0.226
2452454.52468 20.237 0.280
2452454.54857 20.105 0.188
2452454.55753 20.209 0.186
2452454.56649 20.099 0.155
2452454.57719 20.422 0.206
2452454.58607 20.319 0.191
2452454.59489 20.350 0.183
2452454.60383 20.682 0.293
2452454.63062 20.387 0.271
2452454.63966 20.026 0.164
2452454.64861 20.121 0.170
2452454.65908 20.347 0.209
2452454.66821 20.301 0.201
2452454.68680 20.234 0.195
2452454.69653 20.581 0.258
2452454.70534 20.454 0.224
2452454.71600 20.394 0.191
2452454.72492 20.191 0.174
2452454.74292 20.067 0.187
2452454.75346 20.225 0.209
2452454.76228 20.106 0.201
2452454.77109 19.999 0.232
2452458.73095 20.070 0.176
2452462.71975 20.400 0.169
2452463.81682 20.295 0.182
2452465.46506 20.238 0.372
2452465.47403 20.185 0.276
