2452128.56705 20.211 0.177
2452131.56377 20.221 0.178
2452134.66675 20.435 0.307
2452138.54419 19.977 0.210
2452143.51767 19.941 0.230
2452155.64420 19.993 0.319
2452156.48328 20.394 0.285
2452158.49164 20.636 0.279
2452158.53461 20.021 0.160
2452162.50112 20.195 0.241
2452168.53590 20.220 0.286
2452173.49387 20.260 0.341
2452180.49202 20.300 0.504
2452184.49712 19.982 0.288
2452194.55176 20.425 0.309
2452321.87019 20.564 0.379
2452324.87230 20.130 0.203
2452341.82879 20.613 0.388
2452350.84190 20.125 0.166
2452358.88135 20.052 0.195
2452370.80960 20.425 0.292
2452381.80499 20.031 0.178
2452388.84731 20.140 0.180
2452391.68985 20.136 0.324
2452400.68770 20.526 0.327
2452402.80267 20.318 0.221
2452404.83958 20.239 0.195
2452410.71128 19.922 0.144
2452414.60114 20.141 0.338
2452414.61026 19.923 0.269
2452414.61966 19.965 0.240
2452414.63051 20.189 0.309
2452414.64075 20.218 0.335
2452414.64989 20.455 0.442
2452414.65895 20.679 0.452
2452414.66939 19.978 0.264
2452414.67833 20.535 0.373
2452414.68729 19.889 0.186
2452414.69635 20.056 0.198
2452414.70973 20.342 0.263
2452414.72089 20.180 0.198
2452414.73163 20.456 0.235
2452414.74051 20.400 0.217
2452414.74957 20.361 0.205
2452414.75861 20.189 0.176
2452414.76761 20.144 0.177
2452414.77468 20.081 0.167
2452414.78359 20.264 0.208
2452414.79318 20.081 0.175
2452414.80206 20.629 0.326
2452414.81130 19.914 0.191
2452414.82196 20.187 0.214
2452414.83112 20.280 0.245
2452414.84152 20.368 0.243
2452414.85062 20.420 0.233
2452414.85854 20.394 0.240
2452414.86843 20.338 0.233
2452414.87750 20.181 0.224
2452414.88637 20.369 0.275
2452414.89911 19.909 0.197
2452414.91050 19.917 0.205
2452414.91938 20.628 0.563
2452414.92833 20.334 0.376
2452414.93245 20.400 0.340
2452414.93571 20.033 0.254
2452414.93936 20.430 0.417
2452415.72058 20.387 0.312
2452416.74275 20.137 0.191
2452417.59416 20.346 0.436
2452417.60858 19.820 0.283
2452417.62881 20.165 0.386
2452417.63944 20.213 0.310
2452417.64895 20.095 0.240
2452417.65788 20.483 0.339
2452417.66801 20.685 0.394
2452417.67719 20.336 0.304
2452417.68690 20.368 0.325
2452417.69591 20.156 0.243
2452417.70656 20.477 0.316
2452417.71834 20.243 0.252
2452417.72735 20.323 0.254
2452417.73632 19.893 0.180
2452417.74846 20.510 0.307
2452417.75736 20.343 0.285
2452417.76685 20.382 0.293
2452417.77609 20.449 0.293
2452417.78508 20.511 0.291
2452417.80393 20.262 0.281
2452417.81463 20.173 0.251
2452417.82346 20.522 0.317
2452417.83232 20.527 0.337
2452417.84120 20.599 0.333
2452417.85268 20.332 0.277
2452417.86163 20.397 0.274
2452417.87075 20.693 0.355
2452417.88301 20.092 0.203
2452417.89203 20.188 0.239
2452417.91857 20.608 0.447
2452417.92197 20.356 0.440
2452424.76068 20.434 0.521
2452426.57757 20.199 0.318
2452426.59343 20.112 0.200
2452426.60264 20.615 0.378
2452426.61593 20.154 0.220
2452426.63397 20.534 0.341
2452426.64427 20.098 0.214
2452426.65339 20.049 0.183
2452426.66260 20.363 0.234
2452426.67194 20.565 0.300
2452426.68175 20.027 0.179
2452426.69063 20.419 0.257
2452426.70066 20.072 0.160
2452426.71069 20.139 0.180
2452426.71985 20.698 0.388
2452426.73797 19.819 0.167
2452431.80628 20.081 0.182
2452433.73344 20.240 0.212
2452436.57924 20.142 0.214
2452438.61141 20.341 0.242
2452440.59264 20.350 0.224
2452442.61073 19.959 0.169
2452444.70336 20.413 0.293
2452446.63790 20.046 0.186
2452448.52439 19.891 0.371
2452448.54209 20.467 0.623
2452448.55101 20.433 0.606
2452448.55993 20.167 0.447
2452448.57055 19.927 0.444
2452448.63245 20.305 0.640
2452448.65030 20.192 0.560
2452448.66042 20.360 0.332
2452448.66940 20.399 0.285
2452448.67825 20.099 0.422
2452448.68709 20.118 0.380
2452453.73371 20.286 0.308
2452454.54857 20.638 0.332
2452454.55753 20.607 0.293
2452454.56649 20.256 0.197
2452454.57719 20.188 0.184
2452454.58607 20.204 0.184
2452454.59489 20.095 0.160
2452454.60383 20.577 0.284
2452454.61282 20.116 0.188
2452454.63966 20.316 0.222
2452454.64861 20.163 0.189
2452454.65908 20.037 0.167
2452454.66821 20.054 0.169
2452454.67707 20.514 0.305
2452454.69653 20.244 0.202
2452454.70534 20.060 0.168
2452454.71600 20.203 0.175
2452454.72492 20.232 0.194
2452454.74292 20.013 0.187
2452454.75346 20.176 0.210
2452454.76228 20.061 0.201
2452454.77109 20.046 0.253
2452458.73095 20.151 0.214
2452462.71975 20.170 0.155
2452463.81682 20.316 0.206
2452465.46506 20.561 0.530
2452465.47403 20.008 0.254
2452465.48323 19.977 0.228
2452465.49219 20.579 0.409
2452465.52029 20.395 0.263
2452465.52943 20.356 0.267
2452465.53950 20.424 0.262
2452465.55750 20.438 0.243
2452465.56646 20.511 0.265
2452465.58092 20.171 0.174
2452465.58996 20.020 0.168
2452465.60827 20.346 0.201
2452465.61861 20.498 0.244
2452465.62822 20.301 0.186
2452465.63796 20.233 0.181
2452465.64795 20.177 0.160
2452465.65723 20.044 0.163
2452465.66613 20.291 0.198
2452465.67597 20.448 0.232
2452465.68492 20.188 0.169
2452465.69394 20.085 0.160
2452465.70298 20.260 0.198
2452465.71217 20.013 0.151
2452465.72139 20.182 0.179
2452465.73042 20.518 0.255
2452465.74066 20.035 0.154
2452465.74963 20.393 0.216
2452465.75867 20.321 0.198
2452465.76553 20.257 0.273
2452465.79477 20.298 0.305
2452465.80367 20.666 0.364
2452465.81278 20.241 0.289
2452465.82251 20.510 0.395
2452465.83147 20.607 0.384
2452465.84248 20.361 0.319
2452466.74680 20.389 0.322
2452470.49118 19.929 0.276
2452470.50450 19.983 0.214
2452470.52037 20.278 0.255
2452470.53036 20.057 0.197
2452470.54885 20.657 0.313
2452470.55772 20.420 0.253
2452470.57682 20.658 0.292
2452470.58566 20.350 0.232
2452470.59471 20.586 0.294
2452470.60381 20.121 0.206
2452470.61281 20.471 0.260
2452470.62319 20.305 0.220
2452470.63210 20.216 0.208
2452470.64490 20.299 0.208
2452470.66016 20.037 0.153
2452470.66917 20.177 0.194
2452470.67802 20.323 0.206
2452470.68699 20.180 0.172
2452470.69891 20.227 0.173
2452470.70799 20.255 0.183
2452470.71789 20.264 0.187
2452470.72671 20.089 0.167
2452470.73628 20.328 0.199
2452470.74526 20.386 0.252
2452470.76331 20.370 0.241
2452470.78205 20.172 0.197
2452470.79136 20.604 0.335
2452470.80406 20.434 0.285
2452470.82245 20.690 0.458
2452474.46247 20.083 0.305
2452474.47380 20.128 0.302
2452474.61134 20.143 0.202
2452474.62067 20.271 0.197
2452474.62972 20.199 0.200
2452474.63908 20.255 0.213
2452474.64919 20.361 0.221
2452474.65834 20.386 0.232
2452474.66747 20.388 0.251
2452474.67784 20.409 0.258
2452474.68692 20.416 0.261
2452474.69752 20.486 0.254
2452474.70637 20.410 0.304
2452482.61915 20.174 0.261
2452485.62915 20.240 0.270
2452489.70001 20.089 0.174
2452492.64469 20.414 0.232
2452497.50157 20.323 0.239
2452499.53738 20.155 0.181
2452501.56513 20.376 0.215
2452503.48859 19.920 0.535
2452511.54530 20.329 0.317
2452521.51374 20.382 0.236
2452526.54389 20.132 0.188
2452537.47505 20.368 0.499
2452540.49166 20.462 0.395
2452546.50226 20.131 0.277
2452550.48040 20.661 0.646
2452554.55539 20.213 0.246
2452558.49192 20.418 0.405
2452565.48480 20.064 0.491
2452693.88926 20.382 0.293
2452698.88723 20.473 0.272
2452711.87027 20.477 0.233
2452721.77936 20.270 0.502
2452721.86303 20.105 0.484
2452721.87771 20.404 0.645
2452721.90102 20.491 0.593
2452721.91165 20.239 0.496
2452730.89105 20.193 0.176
2452743.76745 20.187 0.186
2452755.77588 20.528 0.236
2452758.92729 20.042 0.236
2452765.78399 20.477 0.239
2452769.76862 20.569 0.336
2452782.70485 19.984 0.177
2452784.69609 20.249 0.151
2452786.58164 20.205 0.343
2452788.68346 20.239 0.168
2452790.78856 20.352 0.230
2452792.52422 20.466 0.485
2452794.55196 20.633 0.545
2452796.56046 20.124 0.175
2452802.55533 20.591 0.638
2452808.62355 20.150 0.198
2452810.56612 20.540 0.305
2452812.56799 20.249 0.258
2452813.81172 20.541 0.275
2452815.59032 20.005 0.161
2452816.65576 20.261 0.176
2452817.77043 20.348 0.245
2452818.66527 19.988 0.153
2452819.75935 20.279 0.253
2452821.65763 20.434 0.275
2452826.64829 20.161 0.218
2452830.77849 19.944 0.240
2452835.47491 20.227 0.336
2452837.49370 20.453 0.343
2452838.72418 20.272 0.225
2452840.49577 20.589 0.358
2452842.53224 19.931 0.187
2452844.60836 20.249 0.174
