2455977.87086 19.950 0.107 4.53 403.0 279.11 527.01
2455982.87339 19.951 0.093 5.06 305.0 279.11 527.01
2455985.89886 20.127 0.151 5.01 512.0 279.11 527.01
2455988.88868 20.106 0.108 4.57 359.0 279.11 527.01
2455991.83004 20.076 0.114 4.88 342.0 279.11 527.01
2455993.90993 19.971 0.164 4.64 926.0 279.11 527.01
2455996.80364 19.977 0.120 4.86 511.0 279.11 527.01
2455998.81103 20.027 0.127 5.05 494.0 279.11 527.01
2456002.86412 19.967 0.128 4.49 634.0 279.11 527.01
2456003.85922 19.872 0.145 6.73 445.0 279.11 527.01
2456005.83637 20.072 0.121 5.28 320.0 279.11 527.01
2456007.82083 20.030 0.092 4.36 295.0 279.11 527.01
2456009.74615 19.978 0.129 6.03 411.0 279.11 527.01
2456010.87165 19.884 0.071 4.17 302.0 279.11 527.01
2456012.80366 20.064 0.096 4.84 264.0 279.11 527.01
2456014.73538 19.931 0.100 5.41 333.0 279.11 527.01
2456015.82922 19.924 0.070 3.97 266.0 279.11 527.01
2456017.74738 20.084 0.090 4.14 322.0 279.11 527.01
2456018.83958 19.892 0.069 3.90 271.0 279.11 527.01
2456020.72021 19.904 0.156 7.27 391.0 279.11 527.01
2456021.78054 19.854 0.084 4.52 377.0 279.11 527.01
2456022.86156 19.974 0.099 4.42 401.0 279.11 527.01
2456024.92332 19.938 0.145 4.13 977.0 279.11 527.01
2456031.75796 20.042 0.126 6.24 347.0 279.11 527.01
2456033.69947 20.443 0.206 6.71 359.0 279.11 527.01
2456035.87462 20.184 0.127 4.88 377.0 279.11 527.01
2456037.92535 19.896 0.125 4.66 609.0 279.11 527.01
2456040.76586 20.214 0.130 5.44 326.0 279.11 527.01
2456047.69758 20.097 0.119 5.36 354.0 279.11 527.01
2456048.83652 20.011 0.094 4.72 284.0 279.11 527.01
2456048.90584 19.867 0.084 4.31 324.0 279.11 527.01
2456050.82273 20.040 0.110 4.31 446.0 279.11 527.01
2456052.88625 19.998 0.105 3.75 609.0 279.11 527.01
2456057.79432 19.958 0.169 4.51 1148.0 279.11 527.01
2456061.72796 19.600 0.069 4.47 380.0 279.11 527.01
2456062.87744 19.469 0.064 3.84 510.0 279.11 527.01
2456064.88953 19.411 0.058 4.04 448.0 279.11 527.01
2456066.72963 19.324 0.057 4.49 401.0 279.11 527.01
2456067.81747 19.465 0.054 4.03 331.0 279.11 527.01
2456069.62213 19.403 0.057 4.80 314.0 279.11 527.01
2456070.70809 19.238 0.050 4.76 314.0 279.11 527.01
2456071.77048 19.225 0.057 5.33 319.0 279.11 527.01
2456075.84694 18.807 0.029 3.87 318.0 279.11 527.01
2456077.74735 18.607 0.030 5.00 311.0 279.11 527.01
2456078.83155 18.584 0.029 4.39 374.0 279.11 527.01
2456079.90967 18.650 0.038 5.41 454.0 279.11 527.01
2456080.94468 18.571 0.050 6.11 766.0 279.11 527.01
2456085.74998 18.971 0.053 4.87 531.0 279.11 527.01
2456086.75864 19.014 0.040 4.14 387.0 279.11 527.01
2456088.61515 19.177 0.041 4.59 270.0 279.11 527.01
2456092.67928 19.326 0.062 5.64 303.0 279.11 527.01
2456093.87819 19.707 0.117 7.10 351.0 279.11 527.01
2456096.66418 19.865 0.091 5.34 297.0 279.11 527.01
2456097.87036 19.580 0.101 5.92 441.0 279.11 527.01
2456099.64645 20.077 0.166 6.57 399.0 279.11 527.01
2456100.87716 20.492 0.258 6.32 485.0 279.11 527.01
2456102.53043 19.959 0.142 4.84 652.0 279.11 527.01
2456103.54678 19.739 0.086 3.79 437.0 279.11 527.01
2456104.62037 20.079 0.098 4.24 335.0 279.11 527.01
2456105.68509 20.249 0.152 6.21 293.0 279.11 527.01
2456108.75771 20.310 0.163 3.83 757.0 279.11 527.01
2456113.71309 20.098 0.151 4.33 689.0 279.11 527.01
2456114.81194 20.289 0.182 4.87 609.0 279.11 527.01
2456116.53847 20.077 0.093 4.44 302.0 279.11 527.01
2456117.61847 20.018 0.089 4.57 308.0 279.11 527.01
2456118.68071 20.054 0.082 3.91 285.0 279.11 527.01
2456119.70192 19.741 0.062 4.01 262.0 279.11 527.01
2456120.81256 20.086 0.138 6.33 323.0 279.11 527.01
2456123.56794 20.139 0.117 5.38 290.0 279.11 527.01
2456124.69989 19.949 0.080 4.19 290.0 279.11 527.01
2456125.78859 19.920 0.114 5.83 315.0 279.11 527.01
2456127.66022 20.248 0.137 5.47 275.0 279.11 527.01
2456131.78441 19.831 0.110 6.05 372.0 279.11 527.01
2456134.50869 20.323 0.233 7.44 378.0 279.11 527.01
2456135.78405 20.017 0.131 5.84 379.0 279.11 527.01
2456140.75886 20.368 0.372 7.48 928.0 279.11 527.01
2456142.67344 20.060 0.211 7.13 526.0 279.11 527.01
2456149.58225 20.229 0.143 5.80 285.0 279.11 527.01
2456151.74291 20.163 0.170 6.65 371.0 279.11 527.01
2456154.72401 19.743 0.121 7.03 330.0 279.11 527.01
2456159.49796 20.016 0.154 6.53 397.0
2456161.53226 19.911 0.117 6.65 269.0
2456179.54888 20.089 0.155 6.35 371.0
2456181.63081 20.316 0.174 5.43 441.0
2456184.63564 20.223 0.143 6.53 290.0
2456190.60382 20.310 0.150 5.09 405.0
2456196.52112 20.129 0.166 4.96 554.0
2456198.59551 20.218 0.294 8.31 590.0
2456204.49574 20.053 0.140 5.34 419.0
2456210.59900 19.818 0.135 6.66 448.0
2456213.53935 19.979 0.137 5.83 398.0
2456218.51419 20.552 0.253 5.82 463.0
