2452124.73027 20.203 0.345
2452128.69818 20.099 0.161
2452131.61604 20.106 0.160
2452135.58611 19.862 0.108
2452140.56664 19.771 0.122
2452143.67350 20.087 0.152
2452162.64274 20.087 0.190
2452170.54926 20.110 0.161
2452183.56687 20.074 0.267
2452185.50087 19.958 0.185
2452328.83838 20.110 0.150
2452344.89177 19.981 0.124
2452351.85376 20.168 0.147
2452360.86327 20.176 0.151
2452371.83708 20.170 0.150
2452381.84437 20.063 0.126
2452385.86482 20.056 0.135
2452389.86816 20.074 0.139
2452391.76180 20.073 0.266
2452400.75086 20.103 0.159
2452400.77835 20.107 0.135
2452402.86340 20.154 0.159
2452404.91398 20.104 0.159
2452406.90075 20.056 0.162
2452414.82797 20.286 0.196
2452424.77967 20.181 0.172
2452426.72585 20.192 0.186
2452428.80979 20.006 0.148
2452433.71517 20.359 0.205
2452435.66806 20.182 0.153
2452437.72360 19.832 0.172
2452439.66347 20.224 0.138
2452441.64019 20.023 0.127
2452444.64002 19.995 0.151
2452446.74007 20.078 0.154
2452452.64918 19.932 0.227
2452458.78524 19.982 0.164
2452462.64516 19.955 0.107
2452464.60349 20.077 0.132
2452467.49637 20.043 0.157
2452469.50603 20.055 0.134
2452471.74165 20.091 0.122
2452483.57445 20.180 0.166
2452486.54287 19.920 0.160
2452490.52554 20.112 0.198
2452492.76437 20.088 0.252
2452495.55617 20.162 0.155
2452497.61419 20.142 0.136
2452499.66035 20.210 0.151
2452501.67850 19.968 0.129
2452508.49708 20.327 0.214
2452518.59055 20.019 0.155
2452521.60414 20.018 0.135
2452535.53368 20.385 0.289
2452541.50904 20.116 0.146
2452546.55107 20.054 0.179
2452550.59629 20.131 0.333
2452555.55866 20.194 0.248
2452562.51171 20.311 0.273
2452572.53152 19.928 0.261
2452727.87779 20.072 0.130
2452732.89570 20.264 0.208
2452743.88305 20.134 0.135
2452752.79649 20.123 0.161
2452755.90584 19.937 0.138
2452759.89748 20.066 0.156
2452765.92428 20.213 0.186
2452770.65337 20.090 0.257
2452782.89418 19.938 0.208
2452784.83624 20.118 0.163
2452786.72607 20.091 0.167
2452789.59742 19.878 0.135
2452791.55608 19.966 0.211
2452794.71662 20.210 0.188
2452796.65859 20.172 0.117
2452802.71014 19.921 0.184
2452808.75498 20.198 0.225
2452810.68186 20.018 0.137
2452812.65471 20.285 0.152
2452813.74307 20.114 0.151
2452815.67927 20.197 0.151
2452817.82373 20.189 0.180
2452819.61774 20.216 0.153
2452821.58796 20.095 0.163
2452830.62714 19.958 0.277
2452835.55498 20.226 0.367
2452836.78627 19.669 0.151
2452838.67957 20.000 0.179
2452840.65525 20.115 0.142
2452844.71847 20.231 0.161
2452849.61158 19.938 0.143
2452851.64787 20.126 0.168
2452853.65741 19.954 0.114
2452856.53281 20.113 0.169
2452858.51004 20.099 0.166
2452859.53098 20.197 0.315
2452860.66346 19.895 0.215
2452863.65718 20.172 0.237
2452867.61670 20.261 0.162
2452870.69483 20.084 0.195
2452876.67017 19.830 0.117
2452878.69084 19.749 0.133
2452882.56828 19.985 0.147
2452885.62395 19.751 0.211
2452893.67812 19.959 0.157
2452896.54851 20.000 0.137
2452901.55604 19.847 0.163
2452907.50480 20.168 0.240
2452925.54244 20.067 0.187
2452935.55623 20.028 0.238
2453057.88317 20.168 0.132
2453061.85786 20.254 0.213
2453067.79449 20.247 0.202
2453069.86795 20.177 0.158
2453072.82929 20.015 0.137
2453074.86389 20.060 0.136
2453080.89975 20.116 0.132
2453083.84793 19.992 0.121
2453085.80254 20.092 0.170
2453087.75439 19.740 0.171
2453089.74172 19.993 0.153
2453090.89983 20.062 0.134
2453093.90905 20.213 0.203
2453098.73929 19.982 0.149
2453099.74245 19.983 0.180
2453101.74028 19.978 0.248
2453103.74425 19.731 0.140
2453107.74076 19.907 0.130
2453108.88937 19.906 0.113
2453109.71423 19.903 0.111
2453110.72911 19.976 0.131
2453111.78577 19.842 0.114
2453112.72475 19.999 0.154
2453113.76803 19.984 0.103
2453115.76679 19.923 0.114
2453118.81973 19.547 0.113
2453122.77668 19.459 0.111
2453125.75423 19.533 0.133
2453126.76050 19.303 0.064
2453127.69398 19.292 0.077
2453128.71327 19.403 0.082
2453129.69175 19.149 0.079
2453130.86791 19.062 0.086
2453131.85444 18.956 0.078
2453134.66482 18.476 0.067
2453137.70219 18.297 0.041
2453138.86983 18.554 0.039
2453139.73243 18.642 0.037
2453140.76655 18.914 0.048
2453141.85561 19.103 0.061
2453142.92982 19.235 0.083
2453144.68753 19.280 0.067
2453146.64910 19.464 0.098
2453151.64378 19.596 0.160
2453152.65252 19.772 0.103
2453153.65490 19.562 0.104
2453154.73614 19.894 0.160
2453156.64493 19.787 0.112
2453158.68286 19.739 0.220
2453162.69991 19.716 0.101
2453163.66605 19.823 0.103
2453164.61790 20.066 0.141
2453166.69182 19.855 0.179
2453167.84483 20.063 0.199
2453168.64802 19.895 0.102
2453169.61856 19.948 0.123
2453169.90959 20.102 0.216
2453170.85184 19.912 0.117
2453171.64598 19.965 0.105
2453172.62452 19.958 0.111
2453174.61073 20.069 0.117
2453175.60931 20.054 0.127
2453176.63967 20.100 0.157
2453178.67156 20.296 0.229
2453179.70183 19.729 0.104
2453180.59112 19.929 0.107
2453182.65169 20.162 0.175
2453183.61556 19.987 0.118
2453184.58625 20.143 0.128
2453184.86872 19.803 0.154
2453185.69661 19.774 0.121
2453192.72873 20.121 0.201
2453194.68652 19.910 0.136
2453195.56550 20.117 0.133
