2457085.89964 18.672 0.030 3.62 474.0
2457088.79521 18.708 0.038 4.38 576.0
2457090.85356 18.713 0.037 4.52 440.0
2457098.78038 18.700 0.033 4.83 364.0
2457102.83781 18.736 0.037 5.29 331.0
2457110.78885 18.732 0.026 3.81 322.0
2457112.73671 18.759 0.053 6.14 534.0
2457115.75309 18.721 0.039 5.11 463.0
2457130.77940 18.716 0.031 4.28 280.0
2457133.89023 18.655 0.035 4.98 368.0
2457136.72308 18.771 0.035 4.55 366.0
2457140.92661 18.740 0.035 4.12 472.0
2457143.71437 18.758 0.042 5.28 394.0
2457146.71946 18.672 0.037 3.88 740.0
2457147.93417 18.726 0.071 5.55 1379.0
2457174.57260 18.712 0.064 6.13 977.0
2457178.67147 18.782 0.042 4.06 636.0
2457179.59535 18.679 0.054 6.08 551.0
2457183.92282 18.764 0.052 6.58 406.0
2457187.83291 18.809 0.037 5.13 344.0
2457189.81110 18.671 0.035 4.74 417.0
2457194.61975 18.699 0.035 5.55 280.0
2457198.63135 18.698 0.034 5.03 293.0
2457199.87837 18.746 0.043 5.22 463.0
2457207.53353 18.796 0.045 4.49 594.0
2457214.67311 18.687 0.032 5.32 426.0
2457220.56091 18.683 0.028 4.70 288.0
2457222.47986 18.710 0.044 6.51 448.0
2457224.50129 18.773 0.038 5.13 396.0
2457226.67555 18.719 0.029 4.12 269.0
2457228.60287 18.656 0.030 4.42 340.0
2457233.52869 18.705 0.067 5.15 1236.0
2457233.69550 18.771 0.092 4.78 2300.0
2457249.68056 18.749 0.046 6.80 301.0
2457255.57570 18.789 0.044 5.43 423.0
2457263.51896 18.744 0.037 3.93 581.0
2457267.52569 18.667 0.037 5.31 325.0
2457270.54359 18.768 0.032 4.41 316.0
2457275.64189 18.694 0.067 6.17 914.0
2457284.57626 18.698 0.036 4.70 658.0
2457294.53522 18.822 0.062 7.17 540.0
2457299.56650 18.658 0.041 6.14 437.0
2457415.87102 18.820 0.067 6.97 705.0
2457416.86973 18.822 0.076 7.62 844.0
2457424.86051 18.784 0.037 5.70 370.0
2457425.85562 18.731 0.049 6.16 494.0
2457426.85703 18.607 0.052 7.53 484.0
2457427.84913 18.798 0.058 7.49 436.0
2457428.84486 18.716 0.036 5.75 384.0
2457428.88542 18.767 0.051 5.21 886.0
2457432.84367 18.791 0.043 5.95 395.0
2457433.84181 18.762 0.041 5.85 363.0
2457434.88524 18.723 0.040 4.67 530.0
2457436.85541 18.773 0.048 6.50 353.0
2457437.88190 18.766 0.033 4.69 283.0
2457439.82837 18.859 0.068 6.71 624.0
2457440.84071 18.699 0.041 4.39 646.0
2457441.87957 18.679 0.033 3.92 509.0
2457443.81835 18.685 0.062 7.26 610.0
2457444.81706 18.639 0.046 6.24 542.0
2457445.87707 18.782 0.034 4.26 391.0
2457446.88902 18.736 0.030 3.86 405.0
2457447.88708 18.702 0.037 5.02 388.0
2457448.90096 18.717 0.030 3.99 422.0
2457451.83672 18.674 0.044 4.76 840.0
2457453.86899 18.730 0.025 3.76 310.0
2457455.81995 18.774 0.037 5.79 299.0
2457456.82609 18.746 0.038 5.15 365.0
2457457.82164 18.744 0.039 4.90 446.0
2457458.81685 18.741 0.034 4.71 352.0
2457460.81745 18.779 0.036 4.99 355.0
2457461.81664 18.767 0.029 4.02 315.0
2457462.80362 18.795 0.035 4.65 366.0
2457463.83057 18.681 0.030 4.39 318.0
2457465.77255 18.749 0.040 5.77 389.0
2457465.90101 18.728 0.032 4.11 415.0
2457470.79211 18.744 0.044 5.15 549.0
2457471.75697 18.785 0.055 5.87 661.0
2457471.88781 18.659 0.035 4.68 477.0
2457475.75174 18.639 0.063 7.39 643.0
2457475.86224 18.700 0.060 5.75 851.0
2457485.92568 18.733 0.047 4.20 920.0
2457488.93174 18.820 0.059 4.41 1312.0
2457492.70270 18.703 0.043 6.91 333.0
2457493.91583 18.674 0.027 4.16 260.0
2457494.90386 18.697 0.029 4.14 347.0
2457495.88226 18.822 0.041 5.03 323.0
2457498.78739 18.737 0.038 4.48 471.0
2457500.71077 18.750 0.046 5.15 613.0
2457509.85095 18.726 0.038 5.26 350.0
2457511.92280 18.740 0.029 3.87 389.0
2457522.85709 18.661 0.041 5.54 430.0
2457529.78822 18.835 0.077 7.26 663.0
2457534.76611 18.683 0.030 4.00 413.0
2457536.76892 18.695 0.032 4.24 355.0
2457545.91216 18.734 0.041 5.43 417.0
2457547.54737 18.739 0.055 7.85 351.0
2457547.88563 18.787 0.058 7.66 326.0
2457549.79967 18.702 0.029 4.75 262.0
2457550.77777 18.726 0.030 4.39 338.0
2457554.75842 18.721 0.041 5.28 723.0
2457555.82720 18.748 0.035 4.58 385.0
2457557.80712 18.793 0.042 4.55 588.0
2457561.61315 18.684 0.042 4.96 631.0
2457562.59483 18.648 0.043 5.39 674.0
2457566.79945 18.743 0.037 5.26 366.0
2457567.74359 18.755 0.036 4.78 405.0
2457568.73862 18.751 0.041 6.25 283.0
2457569.75873 18.696 0.035 5.64 302.0
2457570.75527 18.714 0.034 5.93 273.0
2457573.74085 18.681 0.041 6.86 272.0
2457576.49704 18.689 0.036 5.95 352.0
2457577.54970 18.762 0.042 6.41 341.0
2457583.73340 18.844 0.073 6.96 694.0
2457584.80045 18.805 0.047 5.54 497.0
2457590.47650 18.837 0.063 6.91 589.0
2457593.78123 18.749 0.031 4.72 314.0
2457599.72161 18.681 0.033 4.91 283.0
2457602.50212 18.920 0.054 6.65 317.0
2457603.56001 18.776 0.030 4.38 238.0
2457604.53647 18.775 0.035 5.26 295.0
2457604.67789 18.725 0.031 5.21 223.0
2457605.52008 18.767 0.034 5.52 251.0
2457605.68176 18.729 0.036 5.56 271.0
2457606.69255 18.772 0.043 6.48 262.0
2457607.60187 18.755 0.037 6.25 226.0
2457608.47719 18.826 0.046 6.23 319.0
2457608.68206 18.681 0.027 4.22 269.0
2457609.53692 18.838 0.043 5.41 335.0
2457609.72562 18.714 0.034 5.06 289.0
2457610.58275 18.782 0.036 4.92 296.0
2457611.52701 18.665 0.041 5.16 503.0
2457612.52472 18.920 0.055 4.94 710.0
2457612.66585 18.745 0.043 5.44 451.0
2457616.71882 18.809 0.070 4.71 1618.0
2457617.65008 18.779 0.047 4.79 554.0
2457618.53993 18.694 0.040 4.85 493.0
2457618.69809 18.706 0.050 5.07 730.0
2457621.54029 18.734 0.046 7.03 313.0
2457622.47591 18.742 0.039 5.11 435.0
2457622.67031 18.781 0.033 4.12 333.0
2457623.57736 18.691 0.029 4.39 271.0
2457624.50840 18.776 0.038 5.38 319.0
2457625.48019 18.752 0.040 5.46 365.0
2457625.68357 18.725 0.047 6.94 285.0
2457626.66472 18.688 0.033 4.64 302.0
2457630.63899 18.787 0.036 4.87 276.0
2457631.61620 18.800 0.030 4.15 284.0
2457632.60136 18.819 0.036 4.61 278.0
2457633.64374 18.797 0.043 5.83 312.0
2457635.56021 18.824 0.051 6.86 305.0
2457636.61165 18.793 0.057 7.44 325.0
2457637.60113 18.692 0.032 5.26 287.0
2457639.48313 18.695 0.055 6.65 438.0
2457643.55854 18.686 0.064 7.55 491.0
2457644.59440 18.803 0.063 5.77 799.0
2457647.56641 18.775 0.045 4.92 553.0
2457648.60436 18.778 0.048 4.76 591.0
2457650.52233 18.697 0.032 5.06 309.0
2457651.56163 18.803 0.040 4.75 492.0
2457652.58220 18.755 0.040 4.92 559.0
2457654.48965 18.841 0.053 6.59 397.0
2457656.53166 18.673 0.039 5.57 356.0
2457658.48831 18.774 0.051 6.39 410.0
2457660.56829 18.805 0.052 6.53 395.0
2457662.52829 18.745 0.048 5.97 435.0
2457664.57344 18.714 0.051 5.82 530.0
2457666.55492 18.755 0.042 5.55 421.0
2457672.51648 18.799 0.061 6.28 671.0
2457679.53283 18.893 0.075 7.37 582.0
2457796.86338 18.305 0.031 5.32 596.0
2457798.88320 18.170 0.024 4.48 506.0
2457800.87614 18.072 0.022 4.70 446.0
2457802.86138 17.981 0.034 7.57 492.0
2457807.90017 17.784 0.026 5.00 1101.0
2457810.87857 17.793 0.016 4.86 330.0
2457813.84079 17.983 0.026 6.54 442.0
2457816.86921 18.140 0.026 6.19 329.0
2457819.80172 18.297 0.027 5.38 345.0
2457821.83927 18.353 0.032 5.82 374.0
2457823.84998 18.402 0.028 4.30 509.0
2457825.88214 18.465 0.029 4.53 474.0
2457827.85952 18.500 0.032 5.12 428.0
2457829.85544 18.487 0.046 5.90 758.0
2457834.89373 18.606 0.032 5.19 314.0
2457836.82875 18.596 0.030 5.40 275.0
2457837.88978 18.633 0.026 4.43 276.0
2457839.77529 18.628 0.027 4.67 251.0
2457840.84446 18.646 0.029 4.68 267.0
2457841.91067 18.765 0.041 5.59 312.0
2457843.74882 18.678 0.033 5.48 273.0
2457844.80062 18.670 0.028 4.61 249.0
2457845.84002 18.682 0.028 4.33 255.0
2457846.89937 18.634 0.031 4.89 278.0
2457848.71870 18.597 0.038 5.95 392.0
2457849.74649 18.740 0.041 5.73 367.0
