2456350.84273 16.993 0.009 4.68 459.0
2456360.81550 17.000 0.008 3.94 290.0
2456368.81399 16.998 0.008 4.48 247.0
2456373.79752 17.019 0.010 5.99 317.0
2456376.89322 16.982 0.007 3.59 258.0
2456380.77060 16.995 0.008 3.61 469.0
2456386.83480 17.010 0.009 5.40 293.0
2456389.82064 17.007 0.009 4.72 286.0
2456393.83683 17.021 0.010 5.84 298.0
2456396.89578 17.006 0.008 3.59 303.0
2456399.86264 17.013 0.009 5.66 265.0
2456402.91128 17.019 0.012 6.98 340.0
2456406.90113 16.995 0.008 3.12 614.0
2456415.85119 17.029 0.012 7.65 273.0
2456418.71658 16.979 0.008 4.20 335.0
2456420.82907 16.991 0.007 3.48 239.0
2456424.64578 16.994 0.009 4.79 388.0
2456428.81727 17.014 0.009 5.25 321.0
2456432.86788 17.016 0.009 5.50 306.0
2456435.65086 17.020 0.009 4.68 468.0
2456437.80480 17.031 0.013 4.64 1179.0
2456442.90643 17.008 0.009 4.53 424.0
2456446.60842 17.004 0.008 4.27 294.0
2456448.57452 16.985 0.010 5.41 387.0
2456449.90979 16.987 0.010 5.05 478.0
2456451.85290 16.989 0.009 5.55 321.0
2456454.85289 17.012 0.010 5.59 281.0
2456457.82211 17.011 0.008 3.91 304.0
2456459.77645 17.008 0.008 3.44 312.0
2456462.63005 17.001 0.009 4.38 424.0
2456464.70786 16.997 0.010 4.52 524.0
2456474.65753 17.011 0.009 5.28 306.0
2456476.58669 17.010 0.009 4.77 349.0
2456478.65716 17.021 0.010 6.42 309.0
2456481.64835 17.025 0.011 7.58 253.0
2456486.49218 17.004 0.010 5.42 343.0
2456489.59877 16.991 0.009 5.12 271.0
2456491.73672 16.983 0.009 4.22 343.0
2456497.64126 17.005 0.010 6.03 393.0
2456500.67170 17.005 0.011 7.37 313.0
2456506.57485 17.009 0.011 7.48 279.0
2456509.69966 16.999 0.008 4.02 242.0
2456514.70228 17.003 0.008 4.32 238.0
2456519.63697 16.983 0.008 3.72 305.0
2456526.65380 16.984 0.010 4.63 446.0
2456533.64026 17.009 0.008 4.84 309.0
2456541.62464 17.017 0.006 4.00 273.0
2456553.55047 16.997 0.015 6.31 895.0
2456562.59826 17.009 0.008 4.24 260.0
2456569.57076 16.997 0.008 4.60 292.0
2456576.50464 16.996 0.018 4.66 2045.0
2456576.57431 16.990 0.018 4.90 2001.0
2456578.58176 17.000 0.010 5.18 462.0
2456583.56981 17.008 0.013 5.95 708.0
2456705.86967 16.993 0.011 5.68 599.0
2456717.90648 17.003 0.017 5.49 1870.0
2456721.85533 16.996 0.009 5.46 373.0
2456725.80105 17.007 0.010 6.22 377.0
2456727.89522 16.986 0.007 4.30 271.0
2456730.85355 17.014 0.009 5.64 375.0
2456733.87649 16.999 0.008 4.03 466.0
2456736.78584 17.015 0.013 7.11 582.0
2456738.81921 16.985 0.015 4.80 1878.0
2459994.84877 16.983 0.009 5.46 360.0
2459999.83511 17.010 0.012 7.00 391.0
2460003.82284 17.023 0.010 6.20 390.0
2460007.81512 17.000 0.011 5.87 526.0
2460012.80977 16.998 0.009 4.69 562.0
2460015.81087 16.974 0.009 5.10 556.0
2460016.81812 16.981 0.010 5.15 593.0
2460022.81144 16.998 0.010 6.38 274.0
2460025.77575 17.021 0.009 5.81 285.0
2460027.89774 16.989 0.008 4.64 299.0
2460030.79059 16.993 0.008 4.50 257.0
2460032.87486 16.980 0.007 4.44 231.0
2460035.81007 17.001 0.010 6.60 292.0
2460037.90914 16.983 0.008 4.68 300.0
2460040.77046 17.015 0.009 4.42 596.0
2460042.80447 16.984 0.009 4.61 492.0
