   336  547.44  525.23 17.485  0.972 16.513   8   0 0.006  220   2 0.009
   337  712.47  529.15 17.973  1.281 16.692   8   0 0.013  220   2 0.011
   338  559.22  532.38 17.183  0.704 16.479   8   0 0.008  220   2 0.008
   339  761.40  536.71 17.635  1.218 16.417   8   0 0.015  220   2 0.013
   340  591.04  537.06 18.119  1.225 16.894   8   0 0.010  220   1 0.011
   341  668.08  537.48 18.245  1.245 17.000   8   0 0.010  219   2 0.013
   346  638.77  556.51 17.319  0.419 16.900   8   0 0.007  220   1 0.013
   348  511.19  571.74 17.899  1.147 16.753   8   0 0.013  219   2 0.011
   349  545.64  573.46 17.462  1.289 16.174   8   0 0.007  221   1 0.007
   352  706.29  583.55 17.979  1.344 16.635   8   0 0.021  222   0 0.016
   353  509.88  599.29 18.010  1.060 16.949   8   0 0.013  220   2 0.012
   355  864.71  605.63 18.806  2.040 16.766   8   0 0.023  220   1 0.012
   356  460.70  614.60 17.649  0.798 16.851   8   0 0.013  221   1 0.015
   358  893.66  615.46 17.621  0.980 16.641   8   0 0.005  221   1 0.015
   364  723.94  647.26 18.104  1.131 16.973   8   0 0.016  218   3 0.015
   365  456.98  657.47 17.825  0.868 16.957   8   0 0.010  219   3 0.012
   366  841.49  661.26 16.303  0.143 16.160   8   0 0.006  221   1 0.008
   370  766.86  672.06 17.159  0.906 16.253   8   0 0.010  220   2 0.008
   375  763.32  682.05 17.432  1.051 16.381   8   0 0.010  220   2 0.009
   376  552.39  690.08 17.863  0.924 16.939   8   0 0.009  219   2 0.011
   377  462.40  691.63 17.430  0.854 16.576   8   0 0.013  221   1 0.010
   378  777.24  697.87 17.322  0.891 16.431   8   0 0.005  220   2 0.008
   379  476.53  699.37 17.751  1.210 16.541   8   0 0.009  221   1 0.012
   383  640.09  720.69 17.391  0.957 16.435   8   0 0.005  221   1 0.010
   384  743.93  720.51 17.706  0.838 16.868   8   0 0.014  220   1 0.011
   385  660.78  725.12 17.697  1.446 16.251   8   0 0.011  221   1 0.007
   387  584.61  730.53 17.762  1.188 16.574   8   0 0.010  218   4 0.010
   490  643.92  371.29 18.765  0.963 17.802   8   0 0.018  220   1 0.024
   492  463.51  616.09 18.297  1.153 17.145   8   0 0.007  220   1 0.017
   568  613.66  307.75 19.864  2.273 17.590   7   0 0.058  212   0 0.019
   569  664.38  307.38 18.796  1.215 17.581   8   0 0.024  211   1 0.020
   572  507.53  316.80 99.999  9.999 17.048   0   0 9.999  217   1 0.014
